id;Gender;Python_user;R_user;Age;Publications;Tasks;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Year
42;female;yes;yes;31;25;PhD_Student;3;4;3;2;2;2;5;2;5;5;2010
43;female;yes;no;49;44;Phd_Supervisor;1;3;2;3;3;3;4;3;4;3;2001
44;female;yes;yes;40;35;Phd_Supervisor;4;4;4;3;4;4;4;2;4;4;2006
45;female;yes;yes;37;19;Postdoctoral_research;3;4;4;4;3;3;4;4;3;4;2008
46;female;yes;no;37;31;PhD_Student;4;2;2;2;5;3;4;5;5;4;2007
47;female;yes;no;36;33;Postdoctoral_research;5;4;5;5;5;4;4;4;3;4;2010
48;female;yes;yes;32;31;PhD_Student;4;4;4;3;4;3;3;3;4;4;2008
49;female;no;no;33;29;PhD_Student;4;5;5;5;5;4;4;4;4;5;2007
50;female;yes;no;41;39;Phd_Supervisor;1;3;2;3;1;1;2;3;1;5;2015
51;female;yes;no;31;33;PhD_Student;3;5;4;3;2;3;5;3;3;4;2014
52;female;no;yes;39;30;Postdoctoral_research;4;3;4;4;4;4;4;3;5;5;2004
53;male;no;yes;29;27;PhD_Student;4;5;3;3;5;4;3;3;4;5;2013
54;female;yes;no;42;35;Phd_Supervisor;3;3;3;3;4;3;3;3;4;3;2003
55;female;no;no;30;21;PhD_Student;5;5;4;3;5;5;4;1;5;4;2012
56;male;no;yes;46;41;Phd_Supervisor;4;3;5;5;4;3;4;3;3;5;2003
57;male;no;yes;45;34;Phd_Supervisor;4;4;3;4;3;4;3;3;4;2;2005
58;female;yes;no;34;41;Postdoctoral_research;3;3;4;4;3;3;4;4;3;5;2002
59;male;yes;yes;38;31;PhD_Student;4;3;3;3;3;4;4;3;4;2;2005
60;female;no;no;34;36;PhD_Student;2;3;4;3;4;3;5;4;5;3;2009
61;male;no;yes;39;32;Phd_Supervisor;4;4;5;2;5;5;5;3;5;5;2008
62;male;no;yes;48;39;Phd_Supervisor;3;4;2;3;4;2;3;4;3;3;2004
63;male;no;yes;32;25;PhD_Student;4;5;5;4;3;4;4;2;2;5;2009
64;female;no;no;39;26;Postdoctoral_research;2;4;1;2;2;2;4;3;1;3;2005
65;female;no;no;34;31;PhD_Student;5;2;3;3;2;4;5;2;5;4;2014
66;male;yes;no;NA;35;Postdoctoral_research;4;4;5;3;4;4;4;4;3;4;2007
67;female;yes;no;46;37;Phd_Supervisor;5;4;4;3;5;4;4;3;5;4;2010
68;female;yes;no;38;17;Postdoctoral_research;3;4;5;4;3;4;4;3;4;5;2007
69;female;no;no;41;25;Phd_Supervisor;3;4;4;4;3;3;4;3;3;5;2014
70;male;yes;yes;37;24;Postdoctoral_research;2;5;4;2;3;4;5;1;4;2;2008
71;male;yes;yes;36;33;PhD_Student;4;3;4;4;5;4;3;2;5;5;2010
72;male;yes;no;41;25;Phd_Supervisor;5;4;4;2;4;4;5;4;5;4;2012
73;female;no;yes;41;29;Phd_Supervisor;2;4;4;2;1;1;3;2;2;5;2007
74;female;no;yes;38;30;Postdoctoral_research;1;4;3;3;1;1;3;1;3;4;2014
75;male;yes;no;42;32;Phd_Supervisor;4;5;5;2;2;2;2;2;4;5;2005
76;male;no;yes;43;34;Phd_Supervisor;5;5;3;2;5;4;5;1;5;2;2007
77;male;no;yes;42;33;Postdoctoral_research;4;3;5;3;2;4;5;2;4;5;2002
78;male;yes;no;28;16;PhD_Student;4;4;3;3;4;4;3;2;4;4;2013
79;female;yes;yes;42;34;Phd_Supervisor;2;3;2;3;3;4;4;2;3;4;2002
80;female;yes;yes;32;29;PhD_Student;5;5;5;5;5;4;4;5;5;5;2015
81;male;yes;no;25;11;PhD_Student;5;4;4;4;5;4;5;4;5;5;2013
82;male;yes;no;40;29;Postdoctoral_research;5;4;4;4;4;4;4;4;5;5;2011
83;female;no;no;38;25;Postdoctoral_research;1;4;3;3;1;5;2;2;3;1;2010
84;female;yes;no;40;26;Phd_Supervisor;4;4;4;3;4;4;5;4;3;4;2001
85;female;yes;no;41;23;Phd_Supervisor;4;4;4;2;2;2;4;2;4;4;2012
86;male;no;no;39;36;Phd_Supervisor;4;4;4;4;4;4;5;4;4;5;2010
87;male;no;yes;29;22;PhD_Student;4;4;4;4;3;3;3;4;5;1;2010
88;female;yes;no;43;32;Postdoctoral_research;4;3;5;3;4;3;5;4;4;2;2003
89;female;yes;no;43;34;Postdoctoral_research;5;5;5;2;2;2;5;1;1;1;2004
90;female;yes;yes;41;33;Phd_Supervisor;3;3;3;2;2;2;4;2;4;3;2012
91;male;no;no;36;22;Phd_Supervisor;4;4;4;2;2;4;5;2;4;4;2004
92;male;no;yes;36;24;Postdoctoral_research;3;4;5;2;3;3;5;4;5;5;2008
93;male;no;yes;32;30;PhD_Student;1;5;4;4;3;4;5;1;3;5;2008
94;male;yes;no;46;38;Phd_Supervisor;5;5;5;3;5;5;3;5;5;5;2015
95;male;yes;yes;41;28;Phd_Supervisor;5;5;5;4;5;4;5;4;5;5;2015
96;female;no;yes;38;32;Postdoctoral_research;4;2;3;2;2;2;4;2;5;3;2003
97;male;no;yes;37;24;Postdoctoral_research;4;4;3;5;5;4;5;4;4;4;2005
98;female;yes;no;41;33;Phd_Supervisor;2;3;2;2;4;4;5;4;5;3;2003
99;male;no;no;28;16;PhD_Student;4;4;5;4;4;5;5;5;5;5;2016
100;male;yes;no;36;12;Postdoctoral_research;3;4;3;2;4;4;4;3;3;4;2006
101;female;no;no;38;33;PhD_Student;5;5;5;4;4;3;5;4;5;5;2000
102;male;yes;no;37;25;Postdoctoral_research;5;4;5;3;5;4;4;4;5;4;2012
103;male;no;no;36;24;PhD_Student;4;5;3;3;3;4;5;4;5;4;2014
104;female;yes;no;41;37;Postdoctoral_research;5;5;4;3;4;3;4;4;5;4;2000
105;male;yes;no;41;21;Postdoctoral_research;5;5;4;5;5;5;5;4;5;5;2015
106;female;yes;yes;39;44;PhD_Student;4;4;4;3;4;4;5;4;4;5;2002
107;male;no;no;38;21;Postdoctoral_research;2;2;2;2;2;2;4;2;2;2;2016
108;male;yes;yes;37;38;Postdoctoral_research;4;4;4;4;3;4;3;4;4;4;2010
109;female;no;yes;43;34;Postdoctoral_research;2;3;3;3;2;1;4;3;4;5;2008
110;female;yes;yes;32;31;PhD_Student;3;4;4;4;2;4;5;2;3;5;2007
111;male;yes;yes;43;33;Phd_Supervisor;2;2;2;3;2;2;2;1;4;2;2015
112;male;no;yes;28;15;PhD_Student;3;4;4;3;3;3;3;2;5;4;2009
113;male;yes;no;42;32;Phd_Supervisor;5;5;5;4;5;3;5;4;5;5;2015
114;male;yes;no;38;26;PhD_Student;4;4;2;4;5;3;4;3;4;4;2014
115;male;yes;yes;43;29;Phd_Supervisor;4;4;3;4;4;2;3;3;4;3;2004
116;male;yes;yes;35;33;Postdoctoral_research;5;5;5;4;5;5;3;4;5;4;2011
117;male;no;yes;32;32;PhD_Student;4;2;4;3;3;1;4;1;5;4;2006
118;female;yes;no;31;30;PhD_Student;5;5;3;5;5;1;5;4;4;1;2010
119;female;no;no;37;38;PhD_Student;4;4;5;3;4;4;5;4;5;4;2009
120;female;no;no;38;16;Postdoctoral_research;2;4;4;2;3;4;3;2;2;5;2001
121;male;yes;no;29;22;PhD_Student;1;3;2;3;1;2;3;1;2;3;2015
122;male;no;yes;36;25;Postdoctoral_research;2;5;3;1;4;3;3;3;2;2;2004
123;female;no;yes;46;40;Phd_Supervisor;1;5;2;3;4;1;4;3;1;5;2010
124;male;no;yes;32;22;PhD_Student;5;5;5;5;5;4;5;3;5;5;2015
125;male;yes;no;25;16;PhD_Student;4;3;4;4;4;4;4;4;5;3;2007
126;male;yes;no;34;36;Postdoctoral_research;5;4;3;2;4;3;2;3;4;3;2003
127;female;yes;no;48;42;Phd_Supervisor;4;3;3;3;4;3;4;2;4;5;2002
128;female;no;yes;36;26;Postdoctoral_research;3;4;4;3;4;4;4;3;5;5;2006
129;male;yes;yes;41;25;Phd_Supervisor;4;3;4;2;5;4;5;2;5;4;2013
130;male;no;no;33;31;PhD_Student;4;5;5;2;3;3;5;2;4;5;2001
131;female;yes;yes;38;25;Postdoctoral_research;5;5;3;2;3;4;4;4;5;4;2009
132;male;no;no;43;34;Phd_Supervisor;3;4;5;4;5;4;2;2;3;4;2006
133;male;no;yes;40;33;Postdoctoral_research;4;4;4;3;4;4;4;5;5;4;2007
134;male;no;no;35;31;Postdoctoral_research;2;4;3;2;3;2;3;5;4;1;2001
135;male;no;yes;37;15;PhD_Student;2;2;1;3;1;1;1;2;3;4;2015
136;male;no;yes;34;39;PhD_Student;4;2;3;3;5;3;4;2;3;3;2005
137;male;no;no;45;35;Phd_Supervisor;5;3;4;3;4;4;3;4;4;5;2004
138;male;no;yes;40;21;Phd_Supervisor;5;4;5;4;4;5;5;4;5;5;2015
139;male;no;yes;34;36;PhD_Student;5;4;3;3;4;5;5;2;5;5;2008
140;male;yes;no;31;29;PhD_Student;5;3;5;3;2;2;5;1;2;5;2010
141;female;yes;no;39;28;Postdoctoral_research;3;3;4;2;5;4;5;3;5;5;2014
142;female;yes;no;29;17;PhD_Student;2;4;4;3;3;3;4;1;2;3;2014
143;male;yes;no;38;29;Postdoctoral_research;1;3;5;1;2;4;5;1;5;4;2001
144;male;no;yes;30;19;PhD_Student;3;5;5;5;4;1;4;4;5;5;2014
145;male;yes;no;48;40;Phd_Supervisor;3;4;2;3;4;2;2;2;3;4;2005
146;male;yes;yes;34;27;PhD_Student;1;4;3;2;2;2;3;2;3;4;2005
147;male;no;yes;33;35;PhD_Student;4;4;4;3;4;3;5;4;5;4;2010
148;male;no;yes;40;28;Phd_Supervisor;5;5;5;5;5;5;5;5;5;5;2016
149;female;yes;no;48;40;Phd_Supervisor;3;5;5;3;4;3;5;5;3;5;2001
150;female;yes;yes;34;34;PhD_Student;5;4;3;4;3;4;5;4;5;4;2001
151;female;yes;no;32;32;PhD_Student;5;2;4;3;1;3;3;3;4;5;2013
152;male;no;yes;34;29;Postdoctoral_research;2;3;2;3;4;2;4;4;4;3;2008
153;female;yes;no;32;25;PhD_Student;2;3;5;3;3;1;5;2;5;3;2008
154;female;yes;yes;39;26;Postdoctoral_research;4;5;5;1;4;5;4;4;4;5;2001
155;male;no;yes;30;25;PhD_Student;5;5;2;5;4;5;5;4;5;5;2012
156;female;yes;no;44;35;Phd_Supervisor;4;3;5;3;5;4;5;4;4;5;2009
157;male;no;no;45;31;Phd_Supervisor;4;4;5;3;5;5;5;4;5;5;2003
158;male;no;yes;35;30;Postdoctoral_research;5;4;5;5;5;4;4;3;5;5;2012
159;female;yes;yes;32;39;PhD_Student;3;4;4;3;4;2;5;3;2;3;2008
160;male;yes;yes;39;28;Postdoctoral_research;5;5;5;5;5;5;5;5;5;5;2015
161;female;yes;yes;44;34;Phd_Supervisor;5;3;2;4;5;2;2;4;5;5;2003
162;male;no;yes;37;38;Postdoctoral_research;2;5;4;3;2;3;3;2;3;3;2012
163;male;yes;no;46;33;Phd_Supervisor;2;4;4;3;3;4;5;2;3;4;2007
164;male;no;yes;49;42;Phd_Supervisor;4;3;4;3;4;3;4;3;4;4;2001
165;male;yes;yes;31;29;PhD_Student;4;4;2;4;4;3;3;4;3;2;2009
166;female;no;yes;27;18;PhD_Student;3;3;2;2;2;3;3;2;2;2;2013
167;female;no;no;41;35;Phd_Supervisor;4;3;2;3;4;3;4;2;5;5;2000
168;female;yes;no;28;21;PhD_Student;5;4;4;3;4;4;4;3;5;5;2010
169;male;yes;yes;36;26;PhD_Student;4;5;4;4;2;2;4;2;4;4;2009
170;male;yes;yes;37;26;Postdoctoral_research;2;4;4;4;3;2;3;2;2;2;2012
171;female;no;no;27;18;PhD_Student;4;4;4;3;4;4;5;4;4;5;2001
172;female;yes;yes;35;36;Postdoctoral_research;3;4;4;4;3;3;4;2;2;4;2014
173;male;no;yes;35;35;PhD_Student;4;4;5;3;4;2;5;2;5;2;2003
174;male;yes;yes;31;25;PhD_Student;3;3;3;3;3;4;5;2;3;4;2014
175;male;yes;yes;35;22;PhD_Student;3;4;4;4;4;3;5;1;3;2;2012
176;male;no;no;34;29;PhD_Student;4;2;4;2;2;4;4;4;4;4;2009
177;female;yes;no;27;18;PhD_Student;4;3;4;4;4;4;4;2;4;4;2013
178;female;yes;no;35;24;Postdoctoral_research;3;5;3;4;4;3;4;3;4;5;2007
179;male;no;no;35;21;PhD_Student;1;4;5;2;2;3;5;1;1;3;2013
180;female;yes;yes;47;36;Phd_Supervisor;2;3;4;3;5;2;3;4;4;4;2005
181;male;no;yes;38;36;Phd_Supervisor;3;2;1;1;1;2;3;1;5;1;2015
182;male;no;yes;40;33;Phd_Supervisor;3;5;5;2;3;4;4;3;2;2;2006
183;male;yes;yes;40;37;Postdoctoral_research;5;4;4;3;4;5;4;3;5;5;2005
184;female;no;no;39;36;Postdoctoral_research;3;4;2;4;2;2;4;3;3;4;2013
185;male;no;yes;NA;39;Postdoctoral_research;1;5;5;1;1;4;2;4;1;2;2011
186;male;no;yes;43;31;Phd_Supervisor;1;4;5;2;4;1;3;4;3;2;2006
187;female;yes;no;38;24;PhD_Student;1;3;5;2;1;5;1;2;2;3;2014
188;female;yes;yes;32;26;PhD_Student;5;3;1;3;3;5;5;5;5;5;2009
189;female;yes;no;41;29;Postdoctoral_research;3;4;4;3;4;2;4;3;4;4;2007
190;male;no;yes;37;39;Postdoctoral_research;5;4;4;1;2;4;5;5;5;5;2009
191;male;no;yes;39;39;Postdoctoral_research;5;5;5;4;5;5;5;5;5;5;2015
192;female;yes;no;24;15;PhD_Student;5;4;4;4;5;5;4;4;5;5;2013
193;male;no;yes;43;32;Phd_Supervisor;4;4;5;3;5;3;4;4;5;2;2004
194;female;no;yes;32;28;PhD_Student;4;4;4;4;4;4;4;4;5;2;2013
195;male;no;no;33;26;PhD_Student;5;4;4;3;3;4;5;3;4;4;2012
196;male;no;yes;33;18;PhD_Student;2;4;5;4;3;3;5;5;2;3;2001
197;male;yes;no;37;35;Postdoctoral_research;4;5;4;3;5;3;5;4;5;4;2001
198;female;yes;no;36;32;PhD_Student;3;4;3;4;4;3;5;4;3;5;2010
199;female;yes;no;29;13;PhD_Student;5;4;3;4;5;5;5;3;5;3;2011
200;female;yes;yes;52;45;Phd_Supervisor;2;5;4;3;4;5;4;4;2;4;2009
